timestamp,message
1666232546011,"1666232546011620,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19210,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232546209,"1666232546209299,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19213,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232548352,"1666232548352890,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19229,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232549353,"1666232549353916,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19234,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232551320,"1666232551320469,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19251,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232552008,"1666232552008820,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19253,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232553365,"1666232553365280,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19264,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232555327,"1666232555327853,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19279,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232556234,"1666232556234488,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,8,19286,QUERY,,'SELECT SQL_NO_CACHE value FROM mysql.rds_heartbeat2',0"
1666232557345,"1666232557345173,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19292,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232558009,"1666232558009991,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19294,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232558211,"1666232558211730,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19297,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232559367,"1666232559367610,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19305,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232562228,"1666232562228550,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19323,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232564227,"1666232564227771,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,8,19338,QUERY,,'SELECT SQL_NO_CACHE value FROM mysql.rds_heartbeat2',0"
1666232564337,"1666232564337473,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19341,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232565037,"1666232565037408,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19344,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232565134,"1666232565134740,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19348,QUERY,,'SELECT 1',0"
1666232565233,"1666232565233680,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19351,QUERY,,'select @@GLOBAL.performance_schema',0"
1666232565329,"1666232565329075,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19354,QUERY,,'select count(*) from performance_schema.setup_actors where host like \'%\' and user like \'%\' and role like \'%\'',0"
1666232565436,"1666232565436905,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19360,QUERY,,'select @@GLOBAL.aurora_version',0"
1666232565536,"1666232565536282,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19363,QUERY,,'select count(*) from information_schema.RDS_CONTROL_PERFORMANCE_INSIGHTS_STATUS where FIELD = \'PERFORMANCE_SCHEMA.RDS_EVENTS_THREADS_WAITS_CURRENT\' and value=\'ENABLED\'',0"
1666232565631,"1666232565631633,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19366,QUERY,,'select count(*) from performance_schema.setup_instruments where name like \'wait%\' and enabled <> \'YES\'',0"
1666232566040,"1666232566040600,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19371,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232581289,"1666232581289566,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19513,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232582012,"1666232582012931,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19515,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232582209,"1666232582209124,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19518,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232582217,"1666232582217554,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,8,19520,QUERY,,'SELECT SQL_NO_CACHE value FROM mysql.rds_heartbeat2',0"
1666232582338,"1666232582338306,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19523,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232583039,"1666232583039131,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,9,19524,QUERY,,'SELECT VARIABLE_NAME, VARIABLE_VALUE FROM INFORMATION_SCHEMA.GLOBAL_STATUS WHERE VARIABLE_NAME IN (\'QCACHE_HITS\', \'COM_SELECT\', \'INNODB_BUFFER_POOL_READS\', \'INNODB_BUFFER_POOL_READ_REQUESTS\')',0"
